Title,id,Samling,Nr,Titel,Dato,Date,doc_id,Name,Year,Parti,Period,.groups
Jens Rohde,20201_M3_referat,20201,3,"Referat af møde 3 den 8. oktober, 2020 kl. 9.00",08-10-2020,2020-10-08T22:33:00Z,299,Jens Rohde,2020,Radikale Venstre,2019-,50
Trine Torp,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T16:49:00Z,2990,Trine Torp,2020,Socialistisk Folkeparti,2019-,50
Sofie Carsten Nielsen,20201_M3_referat,20201,3,"Referat af møde 3 den 8. oktober, 2020 kl. 9.00",08-10-2020,2020-10-08T11:13:00Z,2991,Sofie Carsten Nielsen,2020,Radikale Venstre,2019-,50
Anders Kronborg,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T16:49:00Z,2992,Anders Kronborg,2020,Socialdemokratiet,2019-,51
Trine Torp,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T16:50:00Z,2993,Trine Torp,2020,Socialistisk Folkeparti,2019-,51
Marie Bjerre,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T16:50:00Z,2994,Marie Bjerre,2020,Venstre,2019-,51
Anders Kronborg,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T16:51:00Z,2996,Anders Kronborg,2020,Socialdemokratiet,2019-,51
Trine Torp,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T16:52:00Z,2997,Trine Torp,2020,Socialistisk Folkeparti,2019-,51
Lise Bech,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T16:54:00Z,2998,Lise Bech,2020,Dansk Folkeparti,2019-,51
Henrik Dam Kristensen,20201_M3_referat,20201,3,"Referat af møde 3 den 8. oktober, 2020 kl. 9.00",08-10-2020,2020-10-08T19:24:00Z,3,Henrik Dam Kristensen,2020,Socialdemokratiet,2019-,51
Kasper Roug,20201_M3_referat,20201,3,"Referat af møde 3 den 8. oktober, 2020 kl. 9.00",08-10-2020,2020-10-08T19:42:00Z,30,Kasper Roug,2020,Socialdemokratiet,2019-,51
Christian Juhl,20201_M2_referat,20201,2,"Referat af møde 2 den 7. oktober, 2020 kl. 13.00",07-10-2020,2020-10-07T13:49:00Z,300,Christian Juhl,2020,Enhedslisten,2019-,51
Anders Kronborg,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T16:54:00Z,3000,Anders Kronborg,2020,Socialdemokratiet,2019-,51
Næstformand,20201_M2_referat,20201,2,"Referat af møde 2 den 7. oktober, 2020 kl. 13.00",07-10-2020,2020-10-07T13:04:00Z,3003,Næstformand,2020,NA,NA,51
Lise Bech,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T16:55:00Z,3004,Lise Bech,2020,Dansk Folkeparti,2019-,51
Trine Torp,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T16:56:00Z,3005,Trine Torp,2020,Socialistisk Folkeparti,2019-,51
Anders Kronborg,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T16:56:00Z,3006,Anders Kronborg,2020,Socialdemokratiet,2019-,51
Trine Torp,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T16:56:00Z,3007,Trine Torp,2020,Socialistisk Folkeparti,2019-,51
Ellen Trane Nørby,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T16:56:00Z,3008,Ellen Trane Nørby,2020,Venstre,2019-,51
Trine Torp,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T16:56:00Z,3009,Trine Torp,2020,Socialistisk Folkeparti,2019-,51
Mette Frederiksen,20201_M3_referat,20201,3,"Referat af møde 3 den 8. oktober, 2020 kl. 9.00",08-10-2020,2020-10-08T22:33:00Z,301,Mette Frederiksen,2020,Socialdemokratiet,2019-,51
Anders Kronborg,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T16:58:00Z,3010,Anders Kronborg,2020,Socialdemokratiet,2019-,51
Ellen Trane Nørby,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T16:59:00Z,3011,Ellen Trane Nørby,2020,Venstre,2019-,51
Trine Torp,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T16:59:00Z,3012,Trine Torp,2020,Socialistisk Folkeparti,2019-,51
Anders Kronborg,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T16:59:00Z,3013,Anders Kronborg,2020,Socialdemokratiet,2019-,51
Kristian Thulesen Dahl,20201_M3_referat,20201,3,"Referat af møde 3 den 8. oktober, 2020 kl. 9.00",08-10-2020,2020-10-08T11:13:00Z,3014,Kristian Thulesen Dahl,2020,Dansk Folkeparti,2019-,51
Trine Torp,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T16:59:00Z,3015,Trine Torp,2020,Socialistisk Folkeparti,2019-,51
Anders Kronborg,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:01:00Z,3016,Anders Kronborg,2020,Socialdemokratiet,2019-,51
Trine Torp,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:02:00Z,3017,Trine Torp,2020,Socialistisk Folkeparti,2019-,51
Carl Valentin,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:03:00Z,3018,Carl Valentin,2020,Socialistisk Folkeparti,2019-,51
Jens Rohde,20201_M3_referat,20201,3,"Referat af møde 3 den 8. oktober, 2020 kl. 9.00",08-10-2020,2020-10-08T22:35:00Z,302,Jens Rohde,2020,Radikale Venstre,2019-,51
Anders Kronborg,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:04:00Z,3020,Anders Kronborg,2020,Socialdemokratiet,2019-,51
Carl Valentin,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:05:00Z,3022,Carl Valentin,2020,Socialistisk Folkeparti,2019-,51
Anders Kronborg,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:06:00Z,3024,Anders Kronborg,2020,Socialdemokratiet,2019-,51
Pia Kjærsgaard,20201_M3_referat,20201,3,"Referat af møde 3 den 8. oktober, 2020 kl. 9.00",08-10-2020,2020-10-08T11:14:00Z,3025,Pia Kjærsgaard,2020,Dansk Folkeparti,2019-,51
Trine Torp,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:06:00Z,3026,Trine Torp,2020,Socialistisk Folkeparti,2019-,51
Peder Hvelplund,20201_M8_referat,20201,8,"Referat af møde 8 den 30. oktober, 2020 kl. 10.00",30-10-2020,2020-10-30T17:06:00Z,3027,Peder Hvelplund,2020,Enhedslisten,2019-,51
